"hafasId";"rmvId";"dhId";"hstName";"nameFahrPlan";"xIplWert";"yIplWert";"xWgs84";"yWgs84";"lno";"istBahnhof";"gueltigAb";"gueltigBis";"verbund1IstGleichRmv";"land";"rp";"landKreis";"gemeindeName";"ortsTeilName";"agsLand";"agsRp";"agsLk";"agsG";"agsOt"
"3002805";"2805";"de:06433:2805";"Jourdanallee";"Mörfelden-Walldorf-Walldorf Jourdanallee";"3470226";"5540510";"8,58367615333914";"50,0001804533989";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Mörfelden-Walldorf";"Walldorf";"06";"4";"33";"008";"020"
"3002806";"2806";"de:06433:2806";"Egerländer Straße";"Mörfelden-Walldorf-Walldorf Egerländer Straße";"3470158";"5541466";"8,5826534275144";"50,0087716846349";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Mörfelden-Walldorf";"Walldorf";"06";"4";"33";"008";"020"
"3002808";"2808";"de:06433:2808";"Waldstraße";"Mörfelden-Walldorf-Walldorf Waldstraße";"3469287";"5540856";"8,57055180069515";"50,0032434013625";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Mörfelden-Walldorf";"Walldorf";"06";"4";"33";"008";"020"
"3002809";"2809";"de:06433:2809";"Vitrolles-Ring";"Mörfelden-Walldorf-Walldorf Vitrolles-Ring";"3468959";"5540392";"8,56601424090939";"49,9990549566705";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Mörfelden-Walldorf";"Walldorf";"06";"4";"33";"008";"020"
"3002810";"2810";"de:06433:2810";"Am Wildzaun";"Mörfelden-Walldorf-Walldorf Am Wildzaun";"3469875";"5541891";"8,57867223044338";"50,012578269862";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Mörfelden-Walldorf";"Walldorf";"06";"4";"33";"008";"020"
"3002899";"2899";"de:06412:2899";"Stadion";"Frankfurt am Main - Stadion";"3473817";"5548060";"8,63324611837505";"50,068225162041";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Sachsenhausen-Süd";"06";"4";"12";"000";"814"
"3002901";"2901";"de:06433:2901";"Bahnhof";"Kelsterbach";"3466384";"5547464";"8,52948053830515";"50,0624932324621";"LNVG GG";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002902";"2902";"de:06433:2902";"Mauerstraße";"Kelsterbach Mauerstraße";"3466447";"5548534";"8,5302665454294";"50,0721161340452";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002903";"2903";"de:06433:2903";"Schloßweg";"Kelsterbach Schloßweg";"3466291";"5548253";"8,52811225594964";"50,0695811089868";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002904";"2904";"de:06433:2904";"Kelstergrund";"Kelsterbach Kelstergrund";"3466393";"5547923";"8,52956592420838";"50,0666201713194";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002905";"2905";"de:06433:2905";"Rathaus";"Rathaus, Kelsterbach";"3466588";"5547299";"8,5323438939351";"50,0610213716306";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002907";"2907";"de:06433:2907";"Am Weiher";"Kelsterbach Am Weiher";"3465973";"5546523";"8,52382436788778";"50,0540102222";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002908";"2908";"de:06433:2908";"Gesamtschule";"Gesamtschule, Kelsterbach";"3466850";"5547052";"8,53602412226248";"50,0588154903175";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002909";"2909";"de:06433:2909";"Im Taubengrund";"Kelsterbach Im Taubengrund";"3467572";"5546092";"8,54618772477526";"50,0502248213518";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002910";"2910";"de:06433:2910";"Graf-de-Chardonnet-Platz";"Kelsterbach Graf-de-Chardonnet-Platz";"3465710";"5547115";"8,52009909183999";"50,0593172248414";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002911";"2911";"de:06433:2911";"Mainhöhe";"Mainhöhe, Kelsterbach";"3465335";"5546667";"8,51490296019453";"50,0552679486138";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
